Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
587,Construction and Extraction Occupations - Construction Trades Workers - Roofers,2021,129890,$23.51,$26.87,$26.03
588,Construction and Extraction Occupations - Construction Trades Workers - Sheet Metal Workers,2021,122630,$28.25,$26.87,$26.03
589,Construction and Extraction Occupations - Construction Trades Workers - Structural Iron and Steel Workers,2021,68620,$29.46,$26.87,$26.03
590,Construction and Extraction Occupations - Construction Trades Workers - Solar Photovoltaic Installers,2021,16420,$24.38,$26.87,$26.03
591,"Construction and Extraction Occupations - Construction Trades Workers - Helpers  Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2021,18210,$20.85,$26.87,$26.03
592,Construction and Extraction Occupations - Construction Trades Workers - Helpers  Carpenters,2021,27540,$17.95,$26.87,$26.03
593,Construction and Extraction Occupations - Construction Trades Workers - Helpers  Electricians,2021,72150,$17.66,$26.87,$26.03
594,"Construction and Extraction Occupations - Construction Trades Workers - Helpers  Painters, Paperhangers, Plasterers, and Stucco Masons",2021,8940,$16.96,$26.87,$26.03
595,"Construction and Extraction Occupations - Construction Trades Workers - Helpers  Pipelayers, Plumbers, Pipefitters, and Steamfitters",2021,45930,$17.47,$26.87,$26.03
596,Construction and Extraction Occupations - Construction Trades Workers - Helpers  Roofers,2021,6830,$17.31,$26.87,$26.03
597,"Construction and Extraction Occupations - Construction Trades Workers - Helpers, Construction Trades, All Other",2021,27300,$18.08,$26.87,$26.03
598,Construction and Extraction Occupations - Other Construction and Related Workers - Construction and Building Inspectors,2021,117830,$32.93,$26.87,$26.28
599,Construction and Extraction Occupations - Other Construction and Related Workers - Elevator and Escalator Installers and Repairers,2021,22510,$43.91,$26.87,$26.28
600,Construction and Extraction Occupations - Other Construction and Related Workers - Fence Erectors,2021,24470,$19.78,$26.87,$26.28
601,Construction and Extraction Occupations - Other Construction and Related Workers - Hazardous Materials Removal Workers,2021,44240,$23.69,$26.87,$26.28
602,Construction and Extraction Occupations - Other Construction and Related Workers - Highway Maintenance Workers,2021,141150,$21.32,$26.87,$26.28
603,Construction and Extraction Occupations - Other Construction and Related Workers - Rail Track Laying and Maintenance Equipment Operators,2021,21030,$29.22,$26.87,$26.28
604,Construction and Extraction Occupations - Other Construction and Related Workers - Septic Tank Servicers and Sewer Pipe Cleaners,2021,28620,$21.82,$26.87,$26.28
